frame_no,timestamp,size_px-darkorange,position_px_x-darkorange,position_px_y-darkorange,rx-darkorange,ry-darkorange,vx-darkorange,vy-darkorange,ax-darkorange,ay-darkorange,size_px-green,position_px_x-green,position_px_y-green,rx-green,ry-green,vx-green,vy-green,ax-green,ay-green,size_px-hotpink,position_px_x-hotpink,position_px_y-hotpink,rx-hotpink,ry-hotpink,vx-hotpink,vy-hotpink,ax-hotpink,ay-hotpink,size_px-lightorange,position_px_x-lightorange,position_px_y-lightorange,rx-lightorange,ry-lightorange,vx-lightorange,vy-lightorange,ax-lightorange,ay-lightorange,size_px-yellowneon,position_px_x-yellowneon,position_px_y-yellowneon,rx-yellowneon,ry-yellowneon,vx-yellowneon,vy-yellowneon,ax-yellowneon,ay-yellowneon
0,141.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,84,798,955,39.84734408791299,47.686984466111404,,,,,,,,,,,,,
1,141.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,774,953,38.64892772436673,47.58711643581588,,,,,,,,,,,,,
2,259.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,773,949,38.598993709218966,47.38738037522484,,,,,,,,,,,,,
3,283.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,777,940,38.79872976981001,46.937974238894995,-112.9476305095941,-267.53451888421813,-1490.7085051046502,-3704.0239920270437,,,,,,,,,
4,321.1,23,838,565,41.84470469382341,28.212718558484756,,,,,,,,,,,,,,,,,,,,,,,33,773,953,38.598993709218966,47.58711643581588,-197.24571760534351,-492.9671303114508,-2192.1852341259087,-5486.556820383425,,,,,,,,,
5,339.3,,,,,,,,,,20,323,890,16.128686892726684,44.44127348150696,,,,,20,839,565,41.89463870897117,28.212718558484756,,,,,16,530,348,26.465028028313135,17.3770372714207,-57.385440411064955,-141.92859953518538,2396.051791693736,5926.037558880394,21,780,897,38.94853181525329,44.790811587541285,,,,
6,356.3,,,,,,,,,,20,323,890,16.128686892726684,44.44127348150696,,,,,20,838,567,41.84470469382341,28.312586588780277,,,,,17,531,348,26.514962043460894,17.3770372714207,-61.43951209209521,-146.01165469789015,2896.1141918031203,7019.791091244725,21,780,897,38.94853181525329,44.790811587541285,,,,
7,369.4,,,,,,,,,,20,323,890,16.128686892726684,44.44127348150696,,,,,20,839,565,41.89463870897117,28.212718558484756,,,,,17,531,348,26.514962043460894,17.3770372714207,-114.1701730810975,-283.72450055091406,5632.166373846242,14150.847907776253,21,781,897,38.99846583040105,44.790811587541285,,,,
8,387.2,,,,,,,,,,20,323,890,16.128686892726684,44.44127348150696,0.0,0.0,0.0,0.0,20,838,566,41.84470469382341,28.26265257363252,-1.3698868550075562,0.4135719033551534,-13.671109528897968,-26.258533546358947,16,530,348,26.465028028313135,17.3770372714207,0.9563149516523348,0.0,39.92964307525408,0.0,21,780,897,38.94853181525329,44.790811587541285,0.0,0.9563149516524029,0.0,39.92964307525692
9,397.9,,,,,,,,,,20,323,890,16.128686892726684,44.44127348150696,0.0,0.0,0.0,0.0,20,838,566,41.84470469382341,28.26265257363252,0.0,-0.6169956041352325,0.0,28.04525473341966,16,530,348,26.465028028313135,17.3770372714207,-0.6169956041352325,0.0,28.04525473341966,0.0,21,780,897,38.94853181525329,44.790811587541285,0.0,0.0,0.0,0.0
