frame_no,timestamp,size_px-darkorange,position_px_x-darkorange,position_px_y-darkorange,rx-darkorange,ry-darkorange,vx-darkorange,vy-darkorange,ax-darkorange,ay-darkorange,size_px-green,position_px_x-green,position_px_y-green,rx-green,ry-green,vx-green,vy-green,ax-green,ay-green,size_px-hotpink,position_px_x-hotpink,position_px_y-hotpink,rx-hotpink,ry-hotpink,vx-hotpink,vy-hotpink,ax-hotpink,ay-hotpink,size_px-lightorange,position_px_x-lightorange,position_px_y-lightorange,rx-lightorange,ry-lightorange,vx-lightorange,vy-lightorange,ax-lightorange,ay-lightorange,size_px-yellowneon,position_px_x-yellowneon,position_px_y-yellowneon,rx-yellowneon,ry-yellowneon,vx-yellowneon,vy-yellowneon,ax-yellowneon,ay-yellowneon
0,138.8,19,721,871,36.002424921535415,43.49252719369951,,,,,,,,,,,,,,,,,,,,,,,52,750,952,37.45051136082047,47.537182420668124,,,,,,,,,,,,,
1,138.8,23,725,873,36.20216098212646,43.592395223995034,,,,,,,,,,,,,,,,,,,,,,,57,565,806,28.212718558484756,40.24681620909507,,,,,,,,,,,,,
2,257.1,20,722,872,36.05235893668318,43.54246120884727,,,,,,,,,,,,,,,,,,,,,,,30,345,984,17.227235225977417,49.13507090539646,,,,,,,,,,,,,
3,277.6,20,263,767,13.132645983861046,38.299389618332405,-45.051450958595,-10.067839819427899,1725.020300042084,394.0446113279023,,,,,,,,,,20,725,874,36.20216098212646,43.64232923914279,,,,,18,348,867,17.3770372714207,43.292791133108466,-38.201839855904986,-8.94275622160832,1533.4255244001859,311.76414595258905,,,,,,,,,
4,295.0,20,263,767,13.132645983861046,38.299389618332405,-33.1797396847977,-7.407812259761664,1466.2281407745754,339.0303093712432,,,,,,,,,,21,725,873,36.20216098212646,43.592395223995034,,,,,18,349,866,17.42697128656846,43.24285711796071,-15.988024440445143,4.1931012791103734,679.4219511016908,-191.90394870070367,,,,,,,,,
5,309.2,20,263,768,13.132645983861046,38.34932363348017,-188.32920840822953,-43.40377802907841,9657.908123498952,2160.1753162212954,,,,,,,,,,21,726,873,36.25209499727422,43.592395223995034,,,,,18,349,867,17.42697128656846,43.292791133108466,1.64121314516976,-48.00548449621538,-84.16477667537232,2461.819717754635,,,,,,,,,
6,328.7,20,262,767,13.082711968713285,38.299389618332405,0.7212535968598349,0.0,66.47498588569927,0.0,,,,,,,,,,20,725,874,36.20216098212646,43.64232923914279,0.0,-1.0781375645625966,0.0,-42.19716495352631,18,349,866,17.42697128656846,43.24285711796071,0.356883967702864,-0.35688396770283864,-24.277820932167593,24.277820932165866,,,,,,,,,
7,338.7,20,262,767,13.082711968713285,38.299389618332405,0.4999114788820419,0.0,75.17465847850279,0.0,,,,,,,,,,21,726,874,36.25209499727422,43.64232923914279,-0.49991147888205967,-0.49991147888198856,-75.17465847850546,-75.17465847849478,18,348,866,17.3770372714207,43.24285711796071,0.49991147888202414,0.0,75.17465847850012,0.0,,,,,,,,,
8,348.2,20,263,767,13.132645983861046,38.299389618332405,0.0,-0.39968890160330856,0.0,45.16258775178631,,,,,,,,,,20,725,874,36.20216098212646,43.64232923914279,-0.7585828199443064,0.39968890160325166,26.757771426606936,-45.16258775177989,18,349,867,17.42697128656846,43.292791133108466,0.0,-0.3588939183409468,0.0,-18.40481632517676,,,,,,,,,
9,358.1,20,263,767,13.132645983861046,38.299389618332405,1.2533911910929776,0.15802311750758014,-30.27514954330865,10.749871939291152,,,,,,,,,,20,725,873,36.20216098212646,43.592395223995034,0.0,-1.095368073585286,0.0,41.02502148259504,18,349,866,17.42697128656846,43.24285711796071,0.0,0.15802311750755763,0.0,10.749871939289623,,,,,,,,,
