frame_no,timestamp,size_px-darkorange,position_px_x-darkorange,position_px_y-darkorange,rx-darkorange,ry-darkorange,vx-darkorange,vy-darkorange,ax-darkorange,ay-darkorange,size_px-green,position_px_x-green,position_px_y-green,rx-green,ry-green,vx-green,vy-green,ax-green,ay-green,size_px-hotpink,position_px_x-hotpink,position_px_y-hotpink,rx-hotpink,ry-hotpink,vx-hotpink,vy-hotpink,ax-hotpink,ay-hotpink,size_px-lightorange,position_px_x-lightorange,position_px_y-lightorange,rx-lightorange,ry-lightorange,vx-lightorange,vy-lightorange,ax-lightorange,ay-lightorange,size_px-yellowneon,position_px_x-yellowneon,position_px_y-yellowneon,rx-yellowneon,ry-yellowneon,vx-yellowneon,vy-yellowneon,ax-yellowneon,ay-yellowneon
0,142.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,66,960,981,47.93665454185021,48.98526885995318,,,,,,,,,,,,,
1,142.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,771,949,38.49912567892345,47.38738037522484,,,,,,,,,,,,,
2,274.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,766,953,38.24945560318464,47.58711643581588,,,,,,,,,,,,,
3,296.8,20,123,57,6.141883863174558,2.846238863422356,,,,,20,309,893,15.429610680658035,44.59107552695024,,,,,20,809,592,40.39661825453835,29.560936967474294,,,,,15,487,394,24.31786537695943,19.674001968217688,-38.08595756627797,-47.265236979714935,1499.4471482786596,1860.8361015635796,21,770,899,38.449191663775686,44.89067961783681,,,,
4,318.1,20,123,57,6.141883863174558,2.846238863422356,,,,,20,309,893,15.429610680658035,44.59107552695024,,,,,20,808,592,40.34668423939059,29.560936967474294,,,,,16,488,394,24.367799392107187,19.674001968217688,-16.31027133922578,-30.056656800866193,734.5660242295759,1462.611036538502,21,769,899,38.39925764862792,44.89067961783681,,,,
5,335.0,20,123,57,6.141883863174558,2.846238863422356,,,,,20,309,893,15.429610680658035,44.59107552695024,,,,,20,808,592,40.34668423939059,29.560936967474294,,,,,16,487,394,24.31786537695943,19.674001968217688,-83.56234169541254,-167.42418999188394,4788.672876527942,9594.509455122294,21,769,899,38.39925764862792,44.89067961783681,,,,
6,347.6,20,123,57,6.141883863174558,2.846238863422356,0.0,0.0,0.0,0.0,20,310,893,15.479544695805796,44.59107552695024,-0.5534781812259371,0.0,-60.489418713217134,0.0,20,808,593,40.34668423939059,29.610870982622053,-1.320488367490517,2.25747164184866,-13.288791866169426,50.17789715586284,16,487,394,24.31786537695943,19.674001968217688,0.0,0.0,0.0,0.0,21,769,899,38.39925764862792,44.89067961783681,-0.3835050931322801,0.0,23.600313423524927,0.0
7,359.2,20,123,57,6.141883863174558,2.846238863422356,0.0,0.0,0.0,0.0,20,309,893,15.429610680658035,44.59107552695024,0.0,0.0,0.0,0.0,20,808,592,40.34668423939059,29.560936967474294,0.0,1.794820956380223,0.0,87.3392192885754,16,487,394,24.31786537695943,19.674001968217688,-0.5271431894104984,0.0,33.469408851460216,0.0,21,769,899,38.39925764862792,44.89067961783681,0.0,0.0,0.0,0.0
8,369.9,20,123,57,6.141883863174558,2.846238863422356,0.0,0.0,0.0,0.0,20,309,893,15.429610680658035,44.59107552695024,0.0,0.0,0.0,0.0,20,808,594,40.34668423939059,29.660804997769816,0.0,0.755555569287291,0.0,-120.68725368001107,16,487,394,24.31786537695943,19.674001968217688,0.0,0.0,0.0,0.0,21,769,899,38.39925764862792,44.89067961783681,0.0,0.0,0.0,0.0
9,380.1,20,123,57,6.141883863174558,2.846238863422356,0.0,0.0,0.0,0.0,20,309,893,15.429610680658035,44.59107552695024,-1.0040856580474768,0.0,32.7597278318916,0.0,20,807,595,40.29675022424283,29.710739012917575,-0.7218469751565112,1.4436939503129713,50.128262163646696,-100.25652432728982,16,487,394,24.31786537695943,19.674001968217688,0.0,0.0,0.0,0.0,21,769,899,38.39925764862792,44.89067961783681,0.0,0.0,0.0,0.0
