frame_no,timestamp,size_px-darkorange,position_px_x-darkorange,position_px_y-darkorange,rx-darkorange,ry-darkorange,vx-darkorange,vy-darkorange,ax-darkorange,ay-darkorange,size_px-green,position_px_x-green,position_px_y-green,rx-green,ry-green,vx-green,vy-green,ax-green,ay-green,size_px-hotpink,position_px_x-hotpink,position_px_y-hotpink,rx-hotpink,ry-hotpink,vx-hotpink,vy-hotpink,ax-hotpink,ay-hotpink,size_px-lightorange,position_px_x-lightorange,position_px_y-lightorange,rx-lightorange,ry-lightorange,vx-lightorange,vy-lightorange,ax-lightorange,ay-lightorange,size_px-yellowneon,position_px_x-yellowneon,position_px_y-yellowneon,rx-yellowneon,ry-yellowneon,vx-yellowneon,vy-yellowneon,ax-yellowneon,ay-yellowneon
0,146.5,15,707,851,35.30334870946677,42.4938468907443,,,,,,,,,,,,,,,,,,,,,,,33,972,841,48.53586272362333,41.99450673926669,,,,,,,,,,,,,
1,146.5,16,708,851,35.35328272461453,42.4938468907443,,,,,,,,,,,,,,,,,,,,,,,63,768,959,38.34932363348017,47.88672052670245,,,,,,,,,,,,,
2,259.6,10,710,847,35.45315075491005,42.29411083015326,,,,,,,,,,,,,,,,,,,,,,,37,334,1009,16.67796105935205,50.38342128409048,,,,,,,,,,,,,
3,281.7,20,267,733,13.332382044452089,36.601633103308544,-44.70035811964613,-11.987823313905105,1742.7040202591081,467.3615327058519,20,301,895,15.030138559475951,44.69094355724577,,,,,21,714,859,35.65288681550109,42.89331901192638,,,,,18,337,839,16.827763104795334,41.89463870897117,-64.51074410448929,-0.9088133523974243,2515.0387565103033,-2.516930314569455,19,763,904,38.09965355774136,45.140349693575615,,,,
4,301.1,20,267,732,13.332382044452089,36.55169908816078,-32.388430007098364,-7.891829501999377,1423.6672530592684,395.133203708474,20,301,895,15.030138559475951,44.69094355724577,,,,,20,714,858,35.65288681550109,42.843384996778624,,,,,18,337,838,16.827763104795334,41.84470469382341,-31.65399848766302,-8.886621385167578,1391.3845489082646,390.62072022714625,19,763,904,38.09965355774136,45.140349693575615,,,,
5,319.3,20,267,732,13.332382044452089,36.55169908816078,-145.72757913802127,-37.047133341373744,7531.141040724615,1981.261910620925,20,301,895,15.030138559475951,44.69094355724577,,,,,21,715,858,35.702820830648854,42.843384996778624,,,,,18,337,838,16.827763104795334,41.84470469382341,0.9868684817473364,-56.2515034595974,-51.000955129061325,2907.0544423564556,19,763,904,38.09965355774136,45.140349693575615,,,,
6,333.0,20,267,733,13.332382044452089,36.601633103308544,0.0,0.0,0.0,0.0,20,301,895,15.030138559475951,44.69094355724577,0.0,0.0,0.0,0.0,21,714,859,35.65288681550109,42.89331901192638,0.0,0.0,0.0,0.0,18,337,838,16.827763104795334,41.84470469382341,0.0,-0.40529508199954944,0.0,22.147272240412523,19,763,904,38.09965355774136,45.140349693575615,0.0,0.0,0.0,0.0
7,346.6,20,267,733,13.332382044452089,36.601633103308544,0.0,-0.30518999256874385,0.0,-61.65454395328137,20,301,895,15.030138559475951,44.69094355724577,0.0,0.0,0.0,0.0,21,714,858,35.65288681550109,42.843384996778624,0.0,0.0,0.0,0.0,18,337,838,16.827763104795334,41.84470469382341,0.0,0.0,0.0,0.0,19,763,904,38.09965355774136,45.140349693575615,0.0,0.0,0.0,0.0
8,358.0,20,267,733,13.332382044452089,36.601633103308544,0.0,0.722207096174569,0.0,-29.35801203961664,20,301,895,15.030138559475951,44.69094355724577,0.0,0.0,0.0,0.0,21,714,859,35.65288681550109,42.89331901192638,-0.722207096174569,0.2753656220727673,29.35801203961664,-52.45059468052714,19,337,838,16.827763104795334,41.84470469382341,0.0,0.0,0.0,0.0,19,763,904,38.09965355774136,45.140349693575615,0.0,0.0,0.0,0.0
9,369.6,20,267,733,13.332382044452089,36.601633103308544,0.0,0.0,0.0,0.0,20,301,895,15.030138559475951,44.69094355724577,0.0,0.0,0.0,0.0,21,714,859,35.65288681550109,42.89331901192638,0.0,0.0,0.0,0.0,19,337,838,16.827763104795334,41.84470469382341,0.0,0.22431180953322127,0.0,12.257475930777112,19,763,904,38.09965355774136,45.140349693575615,0.0,0.0,0.0,0.0
10,382.2,20,267,732,13.332382044452089,36.55169908816078,0.0,-0.8867936110139844,0.0,28.980183366470055,20,301,895,15.030138559475951,44.69094355724577,0.0,0.0,0.0,0.0,21,714,858,35.65288681550109,42.843384996778624,0.0,0.13870213440832402,0.0,7.792254742040683,18,337,838,16.827763104795334,41.84470469382341,0.0,0.0,0.0,0.0,19,763,904,38.09965355774136,45.140349693575615,0.0,-0.13870213440834375,0.0,-7.792254742041791
11,407.2,20,267,733,13.332382044452089,36.601633103308544,0.0,0.0,0.0,0.0,20,301,895,15.030138559475951,44.69094355724577,0.0,0.0,0.0,0.0,21,714,858,35.65288681550109,42.843384996778624,0.0,-0.6972726002758626,0.0,12.912455560664116,18,337,838,16.827763104795334,41.84470469382341,0.0,0.0,0.0,0.0,19,763,904,38.09965355774136,45.140349693575615,0.0,-0.1447055853165296,0.0,-5.882340866525596
12,443.4,20,267,733,13.332382044452089,36.601633103308544,-0.18768744234123488,0.0,-5.086380551252981,0.0,20,301,895,15.030138559475951,44.69094355724577,0.0,0.0,0.0,0.0,21,714,859,35.65288681550109,42.89331901192638,0.0,-0.18768744234121482,0.0,-5.0863805512524385,18,337,839,16.827763104795334,41.89463870897117,0.0,0.4019481216112257,0.0,-7.443483733541218,19,763,904,38.09965355774136,45.140349693575615,0.0,0.18768744234121482,0.0,5.0863805512524385
13,479.0,20,267,733,13.332382044452089,36.601633103308544,0.0,0.2728593556615484,0.0,-5.02041132771938,20,301,895,15.030138559475951,44.69094355724577,0.0,0.0,0.0,0.0,21,714,859,35.65288681550109,42.89331901192638,0.0,0.056472699546318554,0.0,-9.491210007784597,18,337,838,16.827763104795334,41.84470469382341,0.0,0.21638665611522184,0.0,4.470798680066567,19,763,903,38.09965355774136,45.09041567842785,0.0,-0.056472699546326575,0.0,9.491210007785947
