frame_no,timestamp,size_px-darkorange,position_px_x-darkorange,position_px_y-darkorange,rx-darkorange,ry-darkorange,vx-darkorange,vy-darkorange,ax-darkorange,ay-darkorange,size_px-green,position_px_x-green,position_px_y-green,rx-green,ry-green,vx-green,vy-green,ax-green,ay-green,size_px-hotpink,position_px_x-hotpink,position_px_y-hotpink,rx-hotpink,ry-hotpink,vx-hotpink,vy-hotpink,ax-hotpink,ay-hotpink,size_px-lightorange,position_px_x-lightorange,position_px_y-lightorange,rx-lightorange,ry-lightorange,vx-lightorange,vy-lightorange,ax-lightorange,ay-lightorange,size_px-yellowneon,position_px_x-yellowneon,position_px_y-yellowneon,rx-yellowneon,ry-yellowneon,vx-yellowneon,vy-yellowneon,ax-yellowneon,ay-yellowneon
0,138.3,21,881,517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,138.3,11,870,513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,323,901,16.128686892726684,44.99054764813233,,,,
3,306.4,,,,,,,,,,20,336,893,16.77782908964757,44.59107552695024,,,,,21,887,511,44.29147143606368,25.516281740505683,,,,,19,598,264,29.86054105836086,13.182579999008807,,,,,21,795,890,39.697542042469706,44.44127348150696,,,,
4,326.5,,,,,,,,,,20,336,893,16.77782908964757,44.59107552695024,,,,,21,887,510,44.29147143606368,25.466347725357924,,,,,19,599,264,29.910475073508618,13.182579999008807,,,,,21,795,890,39.697542042469706,44.44127348150696,24.070742366082058,-0.5386955020894983,-1075.0508162482529,25.290868642699444
5,342.5,,,,,,,,,,20,336,893,16.77782908964757,44.59107552695024,,,,,21,887,511,44.29147143606368,25.516281740505683,,,,,19,599,264,29.910475073508618,13.182579999008807,,,,,21,796,890,39.74747605761746,44.44127348150696,,,,
6,358.4,,,,,,,,,,20,336,893,16.77782908964757,44.59107552695024,0.0,0.0,0.0,0.0,21,887,511,44.29147143606368,25.516281740505683,0.0,0.0,0.0,0.0,19,599,264,29.910475073508618,13.182579999008807,-0.4542918135582772,0.0,-54.4062052165602,0.0,21,795,890,39.697542042469706,44.44127348150696,0.8425794897226133,0.0,32.40690345086974,0.0
7,369.1,,,,,,,,,,20,336,893,16.77782908964757,44.59107552695024,0.0,0.0,0.0,0.0,21,887,511,44.29147143606368,25.516281740505683,0.0,1.2304361501480665,0.0,2.735970429752342,19,599,264,29.910475073508618,13.182579999008807,0.0,0.0,0.0,0.0,21,796,890,39.74747605761746,44.44127348150696,0.5594726775678113,0.0,-28.764662085748668,0.0
8,382.1,,,,,,,,,,20,336,893,16.77782908964757,44.59107552695024,0.0,0.0,0.0,0.0,21,887,512,44.29147143606368,25.566215755653445,0.0,-0.04621319292854545,0.0,-66.01884704077756,19,598,264,29.86054105836086,13.182579999008807,0.04621319292854211,0.0,66.01884704077285,0.0,21,796,890,39.74747605761746,44.44127348150696,0.0,0.0,0.0,0.0
9,393.7,,,,,,,,,,20,336,893,16.77782908964757,44.59107552695024,0.0,0.0,0.0,0.0,21,887,511,44.29147143606368,25.516281740505683,0.0,0.0,0.0,0.0,19,598,264,29.86054105836086,13.182579999008807,-0.47595202834186273,0.0,53.17899758009646,0.0,21,796,890,39.74747605761746,44.44127348150696,0.47595202834182876,0.0,-53.17899758009267,0.0
10,408.0,,,,,,,,,,20,336,893,16.77782908964757,44.59107552695024,0.0,0.0,0.0,0.0,21,887,512,44.29147143606368,25.566215755653445,0.0,0.8452485349034788,0.0,-22.539960930759435,19,599,264,29.910475073508618,13.182579999008807,-0.2273846285335468,0.0,-11.690726402753056,0.0,21,796,890,39.74747605761746,44.44127348150696,-0.2273846285335306,0.0,-11.690726402752222,0.0
