frame_no,timestamp,size_px-darkorange,position_px_x-darkorange,position_px_y-darkorange,rx-darkorange,ry-darkorange,vx-darkorange,vy-darkorange,ax-darkorange,ay-darkorange,size_px-green,position_px_x-green,position_px_y-green,rx-green,ry-green,vx-green,vy-green,ax-green,ay-green,size_px-hotpink,position_px_x-hotpink,position_px_y-hotpink,rx-hotpink,ry-hotpink,vx-hotpink,vy-hotpink,ax-hotpink,ay-hotpink,size_px-lightorange,position_px_x-lightorange,position_px_y-lightorange,rx-lightorange,ry-lightorange,vx-lightorange,vy-lightorange,ax-lightorange,ay-lightorange,size_px-yellowneon,position_px_x-yellowneon,position_px_y-yellowneon,rx-yellowneon,ry-yellowneon,vx-yellowneon,vy-yellowneon,ax-yellowneon,ay-yellowneon
0,148.6,13,842,544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,148.6,11,840,544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,258.8,12,841,545,41.99450673926669,27.214038255529545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,340,901,16.977565150238615,44.99054764813233,,,,
5,316.7,20,310,34,15.479544695805796,1.6977565150238616,-189.57401557507913,-181.71827578062025,9270.123011006308,8945.680016947681,20,335,891,16.727895074499813,44.491207496654724,,,,,21,857,542,42.79345098163086,27.064236210086264,,,,,18,552,319,27.563576361563868,15.928950832135643,,,,,21,793,889,39.59767401217418,44.3913394663592,161.72698503862685,-4.284158544069595,-7908.410026338715,209.49430533347638
6,332.2,21,310,34,15.479544695805796,1.6977565150238616,,,,,20,335,891,16.727895074499813,44.491207496654724,,,,,20,857,542,42.79345098163086,27.064236210086264,,,,,18,552,319,27.563576361563868,15.928950832135643,,,,,21,793,889,39.59767401217418,44.3913394663592,,,,
7,344.6,21,310,34,15.479544695805796,1.6977565150238616,,,,,20,335,891,16.727895074499813,44.491207496654724,,,,,20,857,542,42.79345098163086,27.064236210086264,,,,,18,552,318,27.563576361563868,15.879016816987882,,,,,21,793,889,39.59767401217418,44.3913394663592,,,,
8,357.6,21,310,35,15.479544695805796,1.7476905301716221,0.0,0.3402101048001162,0.0,-43.06457022786294,20,335,891,16.727895074499813,44.491207496654724,0.0,0.0,0.0,0.0,20,857,542,42.79345098163086,27.064236210086264,0.0,0.0,0.0,0.0,18,552,319,27.563576361563868,15.928950832135643,0.0,-0.3690514534983187,0.0,-18.046525843438555,21,793,889,39.59767401217418,44.3913394663592,0.0,0.0,0.0,0.0
9,369.3,21,310,35,15.479544695805796,1.7476905301716221,0.0,0.929813534534893,0.0,-22.43217212388162,20,335,891,16.727895074499813,44.491207496654724,0.0,0.0,0.0,0.0,20,857,542,42.79345098163086,27.064236210086264,0.0,0.0,0.0,0.0,18,552,318,27.563576361563868,15.879016816987882,0.1862235587034571,-0.9298135345348971,10.039005860024636,22.432172123881724,21,793,889,39.59767401217418,44.3913394663592,0.0,0.0,0.0,0.0
10,383.0,21,310,34,15.479544695805796,1.6977565150238616,0.0,0.12486332721697391,0.0,6.503298292550728,20,335,891,16.727895074499813,44.491207496654724,0.0,0.0,0.0,0.0,21,857,542,42.79345098163086,27.064236210086264,0.0,0.0,0.0,0.0,18,552,318,27.563576361563868,15.879016816987882,0.1248633272169789,0.12486332721697446,6.503298292550988,6.503298292550756,21,793,889,39.59767401217418,44.3913394663592,0.0,0.0,0.0,0.0
11,414.3,20,310,34,15.479544695805796,1.6977565150238616,0.0,-0.5780400663248857,0.0,10.674793468603612,20,335,891,16.727895074499813,44.491207496654724,0.0,0.0,0.0,0.0,21,857,542,42.79345098163086,27.064236210086264,0.0,0.0,0.0,0.0,18,552,318,27.563576361563868,15.879016816987882,0.0,-0.5780400663248882,0.0,10.67479346860366,21,793,889,39.59767401217418,44.3913394663592,0.0,0.0,0.0,0.0
12,452.2,21,310,35,15.479544695805796,1.7476905301716221,0.20492011938939575,0.0,4.943790576342481,0.0,20,335,891,16.727895074499813,44.491207496654724,0.0,0.0,0.0,0.0,20,857,542,42.79345098163086,27.064236210086264,0.0,0.0,0.0,0.0,18,553,318,27.61351037671163,15.879016816987882,0.1339161944930116,0.0,-11.300944682954565,0.0,21,793,889,39.59767401217418,44.3913394663592,0.0,0.0,0.0,0.0
13,489.2,21,310,35,15.479544695805796,1.7476905301716221,0.0,0.23431687870181647,0.0,-4.442026136527325,20,335,891,16.727895074499813,44.491207496654724,0.0,0.0,0.0,0.0,20,857,542,42.79345098163086,27.064236210086264,0.0,-0.23743661260311472,0.0,-4.471499295727208,18,553,319,27.61351037671163,15.928950832135643,-0.003119733901288866,0.23431687870181753,-8.91352543225471,-4.442026136527344,21,793,889,39.59767401217418,44.3913394663592,0.0,0.0,0.0,0.0
14,522.6,21,310,34,15.479544695805796,1.6977565150238616,0.0,0.23278770119816863,0.0,4.298941850381691,20,335,891,16.727895074499813,44.491207496654724,0.0,0.0,0.0,0.0,20,857,542,42.79345098163086,27.064236210086264,0.0,0.0,0.0,0.0,18,552,318,27.563576361563868,15.879016816987882,0.0,0.23278770119816966,0.0,4.298941850381711,21,793,889,39.59767401217418,44.3913394663592,0.0,0.0,0.0,0.0
15,558.8,21,311,35,15.529478710953557,1.7476905301716221,0.005214369095827271,0.0,-8.690615159711495,0.0,20,335,891,16.727895074499813,44.491207496654724,0.0,0.0,0.0,0.0,20,857,542,42.79345098163086,27.064236210086264,0.0,0.0,0.0,0.0,18,552,318,27.563576361563868,15.879016816987882,-0.23552296705360412,0.0,4.3696283312356945,0.0,21,793,889,39.59767401217418,44.3913394663592,0.0,0.0,0.0,0.0
16,594.7,21,310,35,15.479544695805796,1.7476905301716221,0.21802395092629548,-0.2180239509262945,4.133155467797068,-4.13315546779705,20,335,891,16.727895074499813,44.491207496654724,0.0,0.0,0.0,0.0,20,857,541,42.79345098163086,27.0143021949385,0.0,-0.025067489970117072,0.0,8.497454227158443,18,552,319,27.563576361563868,15.928950832135643,-0.2430914408964203,0.0,4.364298759361227,0.0,21,793,889,39.59767401217418,44.3913394663592,0.0,0.0,0.0,0.0
17,630.2,20,310,35,15.479544695805796,1.7476905301716221,0.0,0.2368914499654437,0.0,-4.222663992253901,20,335,891,16.727895074499813,44.491207496654724,0.0,0.0,0.0,0.0,21,857,542,42.79345098163086,27.064236210086264,0.0,0.0,0.0,0.0,18,552,319,27.563576361563868,15.928950832135643,0.0,0.01902607446206777,0.0,-8.27220628785572,21,793,889,39.59767401217418,44.3913394663592,0.0,0.0,0.0,0.0
18,666.6,20,310,35,15.479544695805796,1.7476905301716221,-0.2486244199517686,-0.18520658668502787,3.9811756597561025,-3.436114780798289,20,335,891,16.727895074499813,44.491207496654724,0.0,0.0,0.0,0.0,20,857,542,42.79345098163086,27.064236210086264,0.0,0.0,0.0,0.0,18,552,318,27.563576361563868,15.879016816987882,0.0,0.0,0.0,0.0,21,793,889,39.59767401217418,44.3913394663592,0.0,0.0,0.0,0.0
19,706.1,20,311,34,15.529478710953557,1.6977565150238616,0.016658902809638068,-0.01665890280963803,-7.748326888203843,7.748326888203808,20,335,891,16.727895074499813,44.491207496654724,0.0,0.0,0.0,0.0,21,857,542,42.79345098163086,27.064236210086264,0.0,0.2283639374849746,0.0,-3.947518366205268,18,552,319,27.563576361563868,15.928950832135643,0.0,-0.21170503467532842,0.0,-3.8008085219987158,21,793,889,39.59767401217418,44.3913394663592,0.0,0.0,0.0,0.0
20,742.4,21,310,35,15.479544695805796,1.7476905301716221,0.0,-0.23429043315190085,0.0,-4.176300056183618,20,335,891,16.727895074499813,44.491207496654724,0.0,0.0,0.0,0.0,20,857,542,42.79345098163086,27.064236210086264,0.0,0.23429043315189357,0.0,4.176300056183488,18,552,318,27.563576361563868,15.879016816987882,0.0,-0.21868923524148487,0.0,4.034856738772784,21,793,889,39.59767401217418,44.3913394663592,0.0,0.0,0.0,0.0
21,791.5,21,310,34,15.479544695805796,1.6977565150238616,0.0,0.09071899955432085,0.0,7.854458835871927,20,335,891,16.727895074499813,44.491207496654724,0.0,0.0,0.0,0.0,21,857,542,42.79345098163086,27.064236210086264,0.0,0.0,0.0,0.0,18,552,318,27.563576361563868,15.879016816987882,0.0,0.2702462205209329,0.0,4.3274014494945225,21,793,889,39.59767401217418,44.3913394663592,0.0,0.0,0.0,0.0
22,821.8,20,310,35,15.479544695805796,1.7476905301716221,-0.21466601641421915,0.2146660164142182,3.7496247408597227,-3.7496247408597063,20,335,891,16.727895074499813,44.491207496654724,0.0,0.0,0.0,0.0,20,857,542,42.79345098163086,27.064236210086264,0.0,0.0,0.0,0.0,18,552,318,27.563576361563868,15.879016816987882,0.0,-0.21466601641421915,0.0,3.7496247408597227,21,793,889,39.59767401217418,44.3913394663592,0.0,0.0,0.0,0.0
23,850.8,20,310,34,15.479544695805796,1.6977565150238616,0.0,-0.0037930586146146597,0.0,8.429019143587421,20,335,891,16.727895074499813,44.491207496654724,0.0,0.0,0.0,0.0,21,857,543,42.79345098163086,27.114170225234023,0.0,0.0037930586146145756,0.0,-8.42901914358716,18,552,318,27.563576361563868,15.879016816987882,0.0,0.2274820743864791,0.0,4.197086243292973,21,793,889,39.59767401217418,44.3913394663592,0.0,0.0,0.0,0.0
24,893.3,21,310,35,15.479544695805796,1.7476905301716221,0.0,0.00759011147853368,0.0,-9.487639348166374,20,335,891,16.727895074499813,44.491207496654724,0.0,0.0,0.0,0.0,20,857,542,42.79345098163086,27.064236210086264,0.0,0.0,0.0,0.0,18,552,319,27.563576361563868,15.928950832135643,0.0,0.00759011147853373,0.0,-9.487639348166415,21,793,889,39.59767401217418,44.3913394663592,0.0,0.0,0.0,0.0
