frame_no,timestamp,size_px-darkorange,position_px_x-darkorange,position_px_y-darkorange,rx-darkorange,ry-darkorange,vx-darkorange,vy-darkorange,ax-darkorange,ay-darkorange,size_px-green,position_px_x-green,position_px_y-green,rx-green,ry-green,vx-green,vy-green,ax-green,ay-green,size_px-hotpink,position_px_x-hotpink,position_px_y-hotpink,rx-hotpink,ry-hotpink,vx-hotpink,vy-hotpink,ax-hotpink,ay-hotpink,size_px-lightorange,position_px_x-lightorange,position_px_y-lightorange,rx-lightorange,ry-lightorange,vx-lightorange,vy-lightorange,ax-lightorange,ay-lightorange,size_px-yellowneon,position_px_x-yellowneon,position_px_y-yellowneon,rx-yellowneon,ry-yellowneon,vx-yellowneon,vy-yellowneon,ax-yellowneon,ay-yellowneon
0,147.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,815,800,40.696222345424914,39.947212118208505,,,,,,,,,,,,,
1,147.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,86,812,797,40.546420299981634,39.797410072765224,,,,,,,,,,,,,
2,256.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,86,814,798,40.64628833027715,39.84734408791299,,,,,,,,,,,,,
3,279.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,61,930,871,46.43863408741739,43.49252719369951,-422.9681802170574,-3.8690920196466254,-7091.239024325027,-468.2245620047508,,,,,,,,,
4,303.9,11,743,865,37.10097325478615,43.19292310281295,,,,,,,,,,,,,,,,,,,,,,,51,949,876,47.38738037522484,43.742197269438314,-639.1923575594029,-15.52895099414059,-8733.152320884694,-521.1173340831006,,,,,,,,,
5,316.0,20,280,752,13.981524241372977,37.550379391115996,,,,,16,312,904,15.579412726101317,45.140349693575615,,,,,20,724,862,36.152226966978695,43.04312105736967,,,,,19,346,856,17.27716924112518,42.7435169664831,-149.27469325060176,18.499855146442073,8293.03851392232,-1027.7697303578932,13,774,905,38.64892772436673,45.19028370872337,,,,
6,328.0,20,280,751,13.981524241372977,37.50044537596823,,,,,16,312,904,15.579412726101317,45.140349693575615,,,,,21,723,862,36.10229295183094,43.04312105736967,,,,,19,346,856,17.27716924112518,42.7435169664831,-243.73150342719455,-6.260226971588899,14421.982451313283,370.42763145496434,12,773,904,38.598993709218966,45.140349693575615,,,,
7,341.4,20,279,752,13.931590226225216,37.550379391115996,-278.72923483739754,-68.09493141123329,18086.452227069894,4393.22138136989,16,312,904,15.579412726101317,45.140349693575615,,,,,21,723,862,36.10229295183094,43.04312105736967,,,,,19,346,857,17.27716924112518,42.79345098163086,-363.37383753074045,-12.33140119468805,23443.47338908003,691.6533233872362,13,774,905,38.64892772436673,45.19028370872337,,,,
8,352.0,21,280,752,13.981524241372977,37.550379391115996,0.0,0.0,0.0,0.0,16,312,904,15.579412726101317,45.140349693575615,0.0,0.0,0.0,0.0,21,723,862,36.10229295183094,43.04312105736967,-0.41934250447081467,-0.39769046788597073,53.76185954754027,-22.093914882553932,19,346,856,17.27716924112518,42.7435169664831,0.0,0.0,0.0,0.0,13,773,904,38.598993709218966,45.140349693575615,-0.41934250447087434,-0.41934250447081467,53.761859547547914,53.76185954754027
9,361.8,20,280,751,13.981524241372977,37.50044537596823,0.0,0.17885832043050265,0.0,10.583332569852226,16,312,904,15.579412726101317,45.140349693575615,0.0,0.0,0.0,0.0,21,724,861,36.152226966978695,42.993187042221905,1.045008590786551,-1.0450085907866997,-25.58160564960957,25.58160564961321,19,346,856,17.27716924112518,42.7435169664831,0.0,0.0,0.0,0.0,12,773,905,38.598993709218966,45.19028370872337,0.17885832043050265,0.8661502703560737,10.583332569852226,-36.16493821946029
